iter	RMSE
535	45.11909882
536	45.10265408
537	45.07554645
538	45.05360371
539	45.03728391
540	45.01705772
541	45.00257249
542	44.9847527
543	44.96962368
544	44.95523463
545	44.93789049
546	44.91961938
547	44.90543139
548	44.88274736
549	44.87152366
550	44.86556716
551	44.85257321
552	44.82073108
553	44.81134847
554	44.79111473
555	44.77774708
556	44.76455854
557	44.74863294
558	44.73359183
559	44.72026113
560	44.71090253
561	44.69229859
562	44.68527932
563	44.67360931
564	44.65495286
565	44.64137401
566	44.63470588
567	44.62747026
568	44.61568909
569	44.59807705
570	44.57918779
571	44.56922682
572	44.55365692
573	44.54089645
574	44.52993098
575	44.51745272
576	44.50723713
577	44.48151133
578	44.47424719
579	44.45488569
580	44.43157415
581	44.41759044
582	44.40081737
583	44.39152921
584	44.38172654
585	44.36992109
586	44.35763824
587	44.33865201
588	44.32949607
589	44.31830054
590	44.29900491
591	44.28983918
592	44.26659413
593	44.25646851
594	44.21949841
595	44.20300626
596	44.19485283
597	44.16061043
598	44.15134147
599	44.13331303
600	44.12244562
601	44.10903932
602	44.08979984
603	44.07193592
604	44.05710487
605	44.0488166
606	44.03338618
607	44.01632417
608	43.98899643
609	43.97488538
610	43.95942548
611	43.94705563
612	43.93085089
613	43.9208929
614	43.91108629
615	43.89461436
616	43.87913357
617	43.85685384
618	43.84105017
619	43.82468993
620	43.8092189
621	43.78680678
622	43.77355747
623	43.76389905
624	43.7517606
625	43.74469736
626	43.73791234
627	43.72489344
628	43.70638571
629	43.68894007
630	43.67223281
631	43.65232175
632	43.64440823
633	43.63592948
634	43.62697075
635	43.61628444
636	43.60664034
637	43.59352507
638	43.58195121
639	43.56699385
640	43.55616493
641	43.5486901
642	43.54183801
643	43.52554201
644	43.5185976
645	43.50589282
646	43.50032939
647	43.49075626
648	43.48387016
649	43.47441654
650	43.46255396
651	43.4577192
652	43.44551957
653	43.42356445
654	43.41502086
655	43.39693456
656	43.38557242
657	43.37181459
658	43.35792721
659	43.34915509
660	43.33392296
661	43.32143774
662	43.30827613
663	43.296679
664	43.28597405
665	43.2814491
666	43.26285532
667	43.24687926
668	43.23205992
669	43.22247214
670	43.19555166
671	43.18742713
672	43.17338013
673	43.16607756
674	43.15285476
675	43.13915246
676	43.13053094
677	43.10359151
678	43.08456812
679	43.07103077
680	43.06134375
681	43.04943885
682	43.03835342
683	43.02691258
684	43.01626666
685	43.00604182
686	42.99892328
687	42.98031617
688	42.97113117
689	42.95804562
690	42.94439894
691	42.93734015
692	42.93089198
693	42.92106108
694	42.90710963
695	42.89874131
696	42.89127395
697	42.87400802
698	42.86912567
699	42.86312003
700	42.85211958
701	42.8422252
702	42.82279388
703	42.81303694
704	42.79587656
705	42.78436093
706	42.77120927
707	42.75530418
708	42.74773326
709	42.73602453
710	42.72479189
711	42.71153763
712	42.70010104
713	42.68625427
714	42.67680028
715	42.67093645
716	42.66259527
717	42.65640148
718	42.63995855
719	42.63082318
720	42.62571738
721	42.61239517
722	42.59976351
723	42.58447489
724	42.57249684
725	42.55454782
726	42.54481602
727	42.53458442
728	42.52747561
729	42.51580264
730	42.50917448
731	42.49754047
732	42.48119828
733	42.45745491
734	42.44585807
735	42.43276783
736	42.41920271
737	42.4028508
738	42.39355102
739	42.38046115
740	42.36560885
741	42.3529494
742	42.34159353
743	42.33009235
744	42.31765265
745	42.31132828
746	42.2999388
747	42.28632097
748	42.27399675
749	42.262071
750	42.24635032
751	42.23497791
752	42.2274715
753	42.21747518
754	42.20483212
755	42.19910003
756	42.18848535
757	42.17658509
758	42.16593567
759	42.15694629
760	42.14439263
761	42.1343784
762	42.12706459
763	42.12000367
764	42.10897464
765	42.09777636
766	42.08146145
767	42.07351308
768	42.06414617
769	42.05535228
770	42.02571942
771	42.01176292
772	41.99775411
773	41.99083673
774	41.98122898
775	41.95623969
776	41.94917159
777	41.93896649
778	41.92962941
779	41.91892001
780	41.91307793
781	41.90429367
782	41.89166747
783	41.88610371
784	41.87607754
785	41.86481655
786	41.85245762
787	41.84221226
788	41.83005423
789	41.82170401
790	41.81739914
791	41.79959794
792	41.79589571
793	41.78534504
794	41.77888689
795	41.76727004
796	41.74876707
797	41.74228378
798	41.73504913
799	41.72571428
800	41.71798036
801	41.70648326
802	41.69178218
803	41.67812868
804	41.67095518
805	41.66252829
806	41.65138637
807	41.64214998
808	41.63406818
809	41.61712357
810	41.60845232
811	41.58402059
812	41.56721808
813	41.55761279
814	41.54773202
815	41.53460217
816	41.52898803
817	41.52308178
818	41.51226818
819	41.50117516
820	41.49606258
821	41.48665588
822	41.47730117
823	41.47093263
824	41.46440181
825	41.45961248
826	41.45021458
827	41.43027258
828	41.42319784
829	41.41380145
830	41.40555738
831	41.39150938
832	41.38692406
833	41.38256715
834	41.37632439
835	41.35582442
836	41.34711511
837	41.34019724
838	41.33051437
839	41.32248843
840	41.31845245
841	41.30698328
842	41.29621224
843	41.28785256
844	41.27524608
845	41.26803097
846	41.25086606
847	41.23974965
848	41.23137765
849	41.22519488
850	41.21564707
851	41.20542281
852	41.19297296
853	41.18375275
854	41.17089076
855	41.16007598
856	41.15329882
857	41.14164206
858	41.12682127
859	41.11751369
860	41.10972805
861	41.09945925
862	41.09007146
863	41.07715147
864	41.06809632
865	41.06129028
866	41.0530794
867	41.04399021
868	41.03981245
869	41.02721548
870	41.01515393
871	41.00545047
872	41.00163706
873	40.99487888
874	40.98749417
875	40.97703726
876	40.96444859
877	40.95499985
878	40.95001018
879	40.94098359
880	40.92314177
881	40.90163521
882	40.89076065
883	40.88035288
884	40.87029725
885	40.85584685
886	40.85136763
887	40.84665015
888	40.84141087
889	40.83067224
890	40.82624056
891	40.81387453
892	40.80193266
893	40.79498923
894	40.79065646
895	40.78083886
896	40.77189642
897	40.76324395
898	40.7386996
899	40.7261656
900	40.71849583
901	40.70906071
902	40.69943629
903	40.69270585
904	40.68828713
905	40.66928296
906	40.66404184
907	40.65928573
908	40.64703269
909	40.63098422
910	40.62563804
911	40.62002973
912	40.60888372
913	40.59817865
914	40.59247356
915	40.58557776
916	40.57845483
917	40.5717334
918	40.56190377
919	40.55625768
920	40.54633649
921	40.53630438
922	40.53054461
923	40.52383368
924	40.51551245
925	40.50861297
926	40.49432565
927	40.48215659
928	40.47309113
929	40.46836128
930	40.45890854
931	40.44860395
932	40.44214077
933	40.43508381
934	40.42511046
935	40.41875697
936	40.41040675
937	40.39797894
938	40.38757917
939	40.38196578
940	40.3753746
941	40.36047082
942	40.35076832
943	40.33948025
944	40.333466
945	40.32688039
946	40.31750769
947	40.30367505
948	40.29238871
949	40.28883265
950	40.28183526
951	40.26311816
952	40.25521504
953	40.24971789
954	40.24108157
955	40.23766913
956	40.22842545
957	40.21632172
958	40.20742677
959	40.20326076
960	40.1941206
961	40.18859243
962	40.1775355
963	40.16401071
964	40.15316649
965	40.13912343
966	40.13148031
967	40.11709444
968	40.1100996
969	40.09279038
970	40.08202918
971	40.07343218
972	40.06287004
973	40.05999294
974	40.05345831
975	40.04546525
976	40.03715038
977	40.02519126
978	40.01548336
979	40.00429791
980	39.98871416
981	39.98030096
982	39.97552947
983	39.97015263
984	39.96099528
985	39.95186515
986	39.94617082
987	39.93879821
988	39.93037442
989	39.92749153
990	39.9053847
991	39.89532713
992	39.88454308
993	39.88007743
994	39.87162195
995	39.86449549
996	39.85937816
997	39.85092659
998	39.84107267
999	39.82610696
